Delivery_person_ID,Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Order_Date,Time_Orderd,Time_Order_picked,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min)
PUNERES12DEL01,25.0,4.9,18.520016,73.830547,18.630016,73.940547,06-03-2022,20:10,20:15,Windy,Jam,1,Meal,scooter,1.0,No,Urban,27
RANCHIRES20DEL02,26.0,4.8,23.39925,85.390464,23.41925,85.410464,01-03-2022,11:30,11:45,Fog,High,2,Meal,scooter,1.0,No,Metropolitian,24
LUDHRES15DEL02,29.0,4.9,30.899584,75.809346,30.949584,75.859346,13-02-2022,23:50,24:05:00,Fog,Low,0,Snack,motorcycle,1.0,No,Metropolitian,20
SURRES17DEL01,27.0,4.7,21.149569,72.772697,21.219569,72.842697,27-03-2022,19:45,19:50,Stormy,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,27
BANGRES11DEL03,31.0,4.9,12.934365,77.616155,12.964365,77.646155,17-03-2022,0.833333333,20:15,Stormy,Jam,0,Meal,motorcycle,0.0,Yes,Urban,49
BANGRES05DEL01,25.0,4.3,12.970324,77.645748,12.980324,77.655748,05-03-2022,0.458333333,11:10,Sandstorms,Low,0,Meal,motorcycle,0.0,No,Metropolitian,25
BANGRES01DEL01,27.0,5.0,12.933284,77.615428,13.003284,77.685428,10-03-2022,17:50,18:05,Stormy,Medium,0,Buffet,motorcycle,0.0,No,Metropolitian,38
SURRES15DEL03,21.0,4.8,21.160522,72.771477,21.250522,72.861477,04-04-2022,0.75,18:15,Sandstorms,Medium,2,Snack,scooter,1.0,No,Metropolitian,27
CHENRES08DEL01,39.0,5.0,13.022394,80.242439,13.092394,80.312439,23-03-2022,20:30,20:35,Stormy,Jam,0,Buffet,motorcycle,2.0,Yes,Metropolitian,54
MUMRES17DEL01,35.0,5.0,19.121999,72.908493,19.161999,72.948493,26-03-2022,14:45,0.625,Sandstorms,High,2,Meal,electric_scooter,0.0,No,Urban,32
COIMBRES07DEL01,26.0,4.4,10.96185,76.971082,11.07185,77.081082,27-03-2022,21:30,21:45,Cloudy,Jam,1,Meal,motorcycle,1.0,No,Metropolitian,36
VADRES17DEL01,39.0,4.9,0.0,0.0,0.07,0.07,20-03-2022,22:50,22:55,Sandstorms,Low,1,Buffet,scooter,1.0,No,Metropolitian,25
MYSRES14DEL03,37.0,4.6,0.0,0.0,0.06,0.06,30-03-2022,17:25,17:30,Sunny,Medium,2,Meal,scooter,0.0,No,Metropolitian,15
CHENRES14DEL01,37.0,4.9,13.026279,80.174568,13.066279,80.214568,05-04-2022,12:40,12:45,Stormy,High,0,Meal,motorcycle,1.0,No,Metropolitian,35
